,ID
0,1512900075311320000
1,1514754083562820000
2,1514753569076910000
3,1514752883018800000
4,1514751673645900000
5,1514751018269030000
6,1514749368439650000
7,1514749294892390000
8,1514748984413230000
9,1514748931800200000
10,1514748286678180000
11,1514748282127490000
12,1514747950819330000
13,1514747939897620000
14,1514747671721950000
15,1514747671222830000
16,1514747650008090000
17,1514747568990950000
18,1514747299829880000
19,1514741953530890000
20,1514741750509830000
21,1514741106725990000
22,1514741048253230000
23,1514740388959070000
24,1514740133018440000
25,1514739486621670000
26,1514739416555730000
27,1514739390765010000
28,1514739360717060000
29,1514739322238420000
30,1514738652508820000
31,1514738185875720000
32,1514735428955520000
33,1514735242220860000
34,1514734897285540000
35,1514734106466290000
36,1514734033208590000
37,1514733511168730000
38,1514733213293450000
39,1514732345881930000
40,1514732278496240000
41,1514731849293200000
42,1514731798558910000
43,1514731561362620000
44,1514731443674560000
45,1514731426578570000
46,1514731290485940000
47,1514730761433370000
48,1514730715094540000
49,1514730694274120000
50,1514730014402610000
51,1514729444665170000
52,1514728747026580000
53,1514728648770790000
54,1514727982484660000
55,1514727706537200000
56,1514727706524540000
57,1514727478941650000
58,1514726954771090000
59,1514726879273620000
60,1514726833698340000
61,1514726766203770000
62,1514725568335460000
63,1514725524811270000
64,1514725186133650000
65,1514724076975180000
66,1514723442506950000
67,1514723289897300000
68,1514722990965010000
69,1514722689952460000
70,1514721226731800000
71,1514720054419620000
72,1514718745620630000
73,1514718413381320000
74,1514718131704540000
75,1514717632846460000
76,1514716981303320000
77,1514716807550180000
78,1514716584312500000
79,1514716229176540000
80,1514714194406370000
81,1514714024449030000
82,1514713344510360000
83,1514713029744930000
84,1514711976391360000
85,1514711721239320000
86,1514711436286890000
87,1514711118635270000
88,1514711036284530000
89,1514710891043950000
90,1514710695991930000
91,1514709801795730000
92,1514708945037830000
93,1514708914981550000
94,1514708889064940000
95,1514708867422240000
96,1514708824749480000
97,1514708595929140000
98,1514708470179760000
99,1514708369579280000
100,1512900075311320000
101,1512899579443920000
102,1512898874347760000
103,1512898145872750000
104,1512898088553300000
105,1512897899872540000
106,1512895245708580000
107,1512895081828670000
108,1512894637219980000
109,1512893187353840000
110,1512893008395600000
111,1512892211997780000
112,1512891655136890000
113,1512890209960010000
114,1512889016257060000
115,1512888349400390000
116,1512887537781680000
117,1512886812628300000
118,1512885708427600000
119,1512885285226490000
120,1512884909643380000
121,1512884575428560000
122,1512883989908010000
123,1512883904000110000
124,1512882904648800000
125,1512882514595040000
126,1512882043943890000
127,1512881071708320000
128,1512881070781470000
129,1512879832245410000
130,1512879340471660000
131,1512878764606240000
132,1512877811836460000
133,1512876775709230000
134,1512876512164420000
135,1512876469424470000
136,1512876466597500000
137,1512876430765520000
138,1512876404651790000
139,1512876366101990000
140,1512876250313800000
141,1512875733441340000
142,1512875143101660000
143,1512874776553030000
144,1512874738783200000
145,1512874392413510000
146,1512873634267890000
147,1512873568392070000
148,1512873309687490000
149,1512872964743740000
150,1512872943503560000
151,1512872720513440000
152,1512872293382640000
153,1512872253297510000
154,1512871774458940000
155,1512871252058320000
156,1512869609396920000
157,1512868570975240000
158,1512867950318870000
159,1512866168029260000
160,1512865394817740000
161,1512864635967490000
162,1512864096995130000
163,1512863788760020000
164,1512863310265330000
165,1512861236878180000
166,1512860686363200000
167,1512859821589950000
168,1512859735598370000
169,1512859333905710000
170,1512858996935320000
171,1512858932930230000
172,1512858229021230000
173,1512858183878020000
174,1512857279279900000
175,1512856687988040000
176,1512856620203580000
177,1512856605867520000
178,1512855301305030000
179,1512854634859310000
