,image_id,image_url,tweet_url
0,none,none,none
23,1514740352984526850,http://pbs.twimg.com/ext_tw_video_thumb/1514740352984526850/pu/img/5wlyknZsSEsYq95H.jpg,https://twitter.com/ZanArmstrong/status/1514740388959072266
44,1514731441996939264,http://pbs.twimg.com/media/FQVoOJpXwAADizS.jpg,https://twitter.com/plugmedaily/status/1514731443674562566
47,1514730688137908228,http://pbs.twimg.com/tweet_video_thumb/FQVniRTX0AQ3tIt.jpg,https://twitter.com/WKTwin/status/1514730761433370636
57,1514726951973494785,http://pbs.twimg.com/media/FQVkIzAXIAEl-dA.jpg,https://twitter.com/popyum/status/1514726954771095562
61,1514725565214957578,http://pbs.twimg.com/media/FQVi4E7XIAozELK.jpg,https://twitter.com/AbstractPrinces/status/1514725568335462406
63,1514725184422305793,http://pbs.twimg.com/media/FQVih6XUYAE4-eb.jpg,https://twitter.com/Bears_Goose1/status/1514725186133655554
69,1514721221534961694,http://pbs.twimg.com/media/FQVe7PdWUB44KAT.jpg,https://twitter.com/dilara_atkins/status/1514721226731802631
73,1514718128651001858,http://pbs.twimg.com/media/FQVcHNkWYAIZecN.jpg,https://twitter.com/LindZLou24/status/1514718131704549380
79,1514714189410963460,http://pbs.twimg.com/media/FQVYh6wVkAQsbcG.jpg,https://twitter.com/Mrsjdiaz7six/status/1514714194406371328
92,1514703006171901969,http://pbs.twimg.com/media/FQVOW98XsBE-qWZ.jpg,https://twitter.com/momgiggles/status/1514708914981556230
93,1514703006176096257,http://pbs.twimg.com/media/FQVOW99XsAEWmz0.jpg,https://twitter.com/momgiggles/status/1514708914981556230
94,1514703006176063495,http://pbs.twimg.com/media/FQVOW99XMActl_I.jpg,https://twitter.com/momgiggles/status/1514708914981556230
121,1512884905469956103,http://pbs.twimg.com/media/FP7YzlCWUAcs8Ij.jpg,https://twitter.com/ULFHLSS/status/1512884909643386888
122,1512884573851598853,http://pbs.twimg.com/media/FP7YgRqXwAUbY9V.jpg,https://twitter.com/mojoemall/status/1512884575428567045
123,1512883982156939268,http://pbs.twimg.com/media/FP7X91bXwAQJ3FB.jpg,https://twitter.com/Still_SheSmiles/status/1512883989908013061
126,1512882430809718797,http://pbs.twimg.com/ext_tw_video_thumb/1512882430809718797/pu/img/czoiUDO5PJR5Pjhc.jpg,https://twitter.com/mrs_macdonald17/status/1512882514595041288
143,1508896138505695247,http://pbs.twimg.com/media/FPCtCyKXMA8Mbz3.jpg,https://twitter.com/SaraJaneKehler/status/1512875143101665282
146,1512874389011943431,http://pbs.twimg.com/media/FP7PPcLX0AcYyrT.jpg,https://twitter.com/jessiegirl_girl/status/1512874392413515778
156,1512871249181036557,http://pbs.twimg.com/media/FP7MYrZWUA0uFdZ.jpg,https://twitter.com/shopexmart/status/1512871252058329095
157,1512869573078433801,http://pbs.twimg.com/ext_tw_video_thumb/1512869573078433801/pu/img/rMhbAbEmQEzdOzgy.jpg,https://twitter.com/joyhastingsjgR/status/1512869609396920329
162,1512864633518014474,http://pbs.twimg.com/media/FP7GXmIXwAoP5GK.jpg,https://twitter.com/curley_danielle/status/1512864635967492099
177,1509278155873435662,http://pbs.twimg.com/media/FPIIfHwXwA4auwI.jpg,https://twitter.com/SaraJaneKehler/status/1512856620203581441
184,1512852482732535817,http://pbs.twimg.com/ext_tw_video_thumb/1512852482732535817/pu/img/ukot6eLjcL6cRWIl.jpg,https://twitter.com/JodyMFT/status/1512852533194248193
218,1512835993891655683,http://pbs.twimg.com/media/FP6sUjNWUAMHZa7.jpg,https://twitter.com/KidyPlace/status/1512835995632390145
221,1512835190070161420,http://pbs.twimg.com/media/FP6rlwvXsAwDOOY.jpg,https://twitter.com/mamaaltademanda/status/1512835194482438150
234,1512831032701112327,http://pbs.twimg.com/media/FP6nzxVWUActoeq.jpg,https://twitter.com/SoullanaArt/status/1512831054830256133
239,1512777974977867777,http://pbs.twimg.com/ext_tw_video_thumb/1512777974977867777/pu/img/If6cwLxGhfImvmiZ.jpg,https://twitter.com/ScardButz/status/1512830193982918659
272,1479812209362493451,http://pbs.twimg.com/media/FIlZXTFWYAs61OQ.jpg,https://twitter.com/Biglittleguy1/status/1512826188452057095
274,1512824063475044360,http://pbs.twimg.com/media/FP6heG8X0Agvg7Z.jpg,https://twitter.com/womenhealthbot/status/1512826175793602575
275,1512824063479238656,http://pbs.twimg.com/media/FP6heG9X0AAx7QR.jpg,https://twitter.com/womenhealthbot/status/1512826175793602575
314,1512808561021173763,http://pbs.twimg.com/media/FP6TXvzWQAM4JEl.jpg,https://twitter.com/momgiggles/status/1512815640134004743
332,1512803192047820800,http://pbs.twimg.com/media/FP6OfO0WYAA_8sP.jpg,https://twitter.com/MommysLittleHe2/status/1512803195931742213
345,1512796828047224841,http://pbs.twimg.com/media/FP6IszEXsAkWpVU.jpg,https://twitter.com/_PetiteLexxi/status/1512796831658430464
358,1512791957105487875,http://pbs.twimg.com/ext_tw_video_thumb/1512791957105487875/pu/img/i58W_QG_4AdkHfGo.jpg,https://twitter.com/TheSharedHeartE/status/1512792107551199233
359,1512790780074729472,http://pbs.twimg.com/media/FP6DMwnXIAAi4_r.jpg,https://twitter.com/babysoftshop/status/1512790782247321600
365,1512786685557415939,http://pbs.twimg.com/media/FP5_ebWXIAMLWw1.jpg,https://twitter.com/mccaulleyauthor/status/1512786690624172034
366,1512786685557366789,http://pbs.twimg.com/media/FP5_ebWWYAU2-zd.jpg,https://twitter.com/mccaulleyauthor/status/1512786690624172034
376,1512784404724293638,http://pbs.twimg.com/media/FP59ZqlXoAY73HN.jpg,https://twitter.com/AurieGood/status/1512784407534395392
416,1512755987106697221,http://pbs.twimg.com/media/FP5jjitXEAUYQlu.jpg,https://twitter.com/BB03637854/status/1512755988788617217
417,1512741426936832001,http://pbs.twimg.com/media/FP5WUB2WYAEOcFh.jpg,https://twitter.com/momgiggles/status/1512754858251665409
430,1299789236317687808,http://pbs.twimg.com/ext_tw_video_thumb/1299789236317687808/pu/img/FaoXN8-M2YeIdncJ.jpg,https://twitter.com/JohnPoulsen6/status/1512746643287904257
439,1508016663517663235,http://pbs.twimg.com/media/FO2NKmhXEAMLXhm.jpg,https://twitter.com/EbrahiemWiener/status/1512731933691854855
445,1512729744994881540,http://pbs.twimg.com/media/FP5LsDOWUAQV_AE.jpg,https://twitter.com/Savvylady_store/status/1512729746655830018
470,1512707021778337799,http://pbs.twimg.com/media/FP43BYpWQAcLgm5.jpg,https://twitter.com/unkiiee/status/1512707032721285123
477,1512699065594793992,http://pbs.twimg.com/media/FP4vyRjX0Ag40Vh.jpg,https://twitter.com/angiejennings94/status/1512699067393970176
