,ID
0,1515116645274034176
1,1515114700316594184
2,1515113815452667908
3,1515112673704300545
4,1515112637155229696
5,1515112627344658434
6,1515111946206408704
7,1515111790916612100
8,1515108831847759882
9,1515108076566859779
10,1515106678114594817
11,1515106121270415360
12,1515105558990311424
13,1515105162171494407
14,1515105097386188800
15,1515104784574992386
16,1515104588474376192
17,1515104231778238465
18,1515104213315076097
19,1515104094297509891
20,1515103261489041418
21,1515102549560508428
22,1515102190062481421
23,1515102088421945346
24,1515102052392787970
25,1515102007652200451
26,1515101942569177088
27,1515101880170471427
28,1515101790072619014
29,1515101671646535681
30,1515100992785760260
31,1515100750417965057
32,1515100723855470597
33,1515099143500300296
34,1515097614622072837
35,1515094755780214792
36,1515093970573012994
37,1515091886465335297
38,1515091473892622340
39,1515087445972377606
40,1515087049430388739
41,1515085790040236033
42,1515085528072343554
43,1515085342369619970
44,1515084611797364741
45,1515083226716553222
46,1515082099581194245
47,1515081367838674949
48,1515080079059173381
49,1515079394456264710
50,1515076777806344196
51,1515075480331902976
52,1515075440343490568
53,1515075298823487489
54,1515075015372386314
55,1515074952684257290
56,1515074912276295683
57,1515074873810468869
58,1515074579085070336
59,1515074048203665412
60,1515072769666465804
61,1515068357254516753
62,1515068025749356544
63,1515066665515597825
64,1515066432421249029
65,1515065636258385920
66,1515065567400673282
67,1515063616831172612
68,1515063540796768265
69,1515062171469848583
70,1515057321478692868
71,1515057271490895881
72,1515055200800808961
73,1515054682913357825
74,1515053987594072064
75,1515053965573992448
76,1515053665790398464
77,1515051472379076618
78,1515051409078722562
79,1515051323812679685
80,1515051185845288965
81,1515050986708119557
82,1515050984938131463
83,1515049511147687937
84,1515046497309675527
85,1515046060917506059
86,1515044802135572482
87,1515042299180466182
88,1515042268742266882
89,1515041367315009536
90,1515041113463209985
91,1515037386438283272
92,1515037238035464195
93,1515034048065900557
94,1515033158982512641
95,1515030068795424790
96,1515027561868320775
97,1515027181453328384
98,1515026797691289604
99,1515026659820412932
100,ID
101,1515116645274034176
102,1515114700316594184
103,1515113815452667908
104,1515112673704300545
105,1515112637155229696
106,1515112627344658434
107,1515111946206408704
108,1515111790916612100
109,1515108831847759882
110,1515108076566859779
111,1515106678114594817
112,1515106121270415360
113,1515105558990311424
114,1515105162171494407
115,1515105097386188800
116,1515104784574992386
117,1515104588474376192
118,1515104231778238465
119,1515104213315076097
120,1515104094297509891
121,1515103261489041418
122,1515102549560508428
123,1515102190062481421
124,1515102088421945346
125,1515102052392787970
126,1515102007652200451
127,1515101942569177088
128,1515101880170471427
129,1515101790072619014
130,1515101671646535681
131,1515100992785760260
132,1515100750417965057
133,1515100723855470597
134,1515099143500300296
135,1515097614622072837
136,1515094755780214792
137,1515093970573012994
138,1515091886465335297
139,1515091473892622340
140,1515087445972377606
141,1515087049430388739
142,1515085790040236033
143,1515085528072343554
144,1515085342369619970
145,1515084611797364741
146,1515083226716553222
147,1515082099581194245
148,1515081367838674949
149,1515080079059173381
150,1515079394456264710
151,1515076777806344196
152,1515075480331902976
153,1515075440343490568
154,1515075298823487489
155,1515075015372386314
156,1515074952684257290
157,1515074912276295683
158,1515074873810468869
159,1515074579085070336
160,1515074048203665412
161,1515072769666465804
162,1515068357254516753
163,1515068025749356544
164,1515066665515597825
165,1515066432421249029
166,1515065636258385920
167,1515065567400673282
168,1515063616831172612
169,1515063540796768265
170,1515062171469848583
171,1515057321478692868
172,1515057271490895881
173,1515055200800808961
174,1515054682913357825
175,1515053987594072064
176,1515053965573992448
177,1515053665790398464
178,1515051472379076618
179,1515051409078722562
180,1515051323812679685
181,1515051185845288965
182,1515050986708119557
183,1515050984938131463
184,1515049511147687937
185,1515046497309675527
186,1515046060917506059
187,1515044802135572482
188,1515042299180466182
189,1515042268742266882
190,1515041367315009536
191,1515041113463209985
192,1515037386438283272
193,1515037238035464195
194,1515034048065900557
195,1515033158982512641
196,1515030068795424790
197,1515027561868320775
198,1515027181453328384
199,1515026797691289604
200,1515026659820412932
201,1515026659820412932
202,1515025754882514947
203,1515024916264849411
204,1515023127222366218
205,1515023101326618624
206,1515022415587389444
207,1515021966578700304
208,1515020868090580994
209,1515017428534968320
210,1515016255379443713
211,1515015921173204992
212,1515015847319793665
213,1515015379596230664
214,1515015352589209603
215,1515015143326945289
216,1515012755195142150
217,1515012583434211333
218,1515012073742381063
219,1515011906154684421
220,1515011130275479555
221,1515007509110693891
222,1515007029793857539
223,1515006787518451714
224,1515004704027205643
225,1515004532811616258
226,1515004313608855554
227,1515003785571368962
228,1515003200583127040
229,1515002894222827523
230,1515002534846418958
231,1515002068330852357
232,1514999905768685578
233,1514999702768472071
234,1514999121274449920
235,1514998020194148362
236,1514997608783171590
237,1514997198588719117
238,1514994315336077318
239,1514993226285039617
240,1514992953894313988
241,1514990422484992004
242,1514986784861605888
243,1514984417428914178
244,1514984158313033733
245,1514983988712165379
246,1514983590127452162
247,1514983252322394125
248,1514982752705204224
249,1514981534096412674
250,1514981482795835393
251,1514981251450654725
252,1514981250582421514
253,1514981190230581253
254,1514981089558867973
255,1514980451903016971
256,1514979559807938560
257,1514976053156065283
258,1514975733424209932
259,1514975703980294148
260,1514975613135769604
261,1514975090286501890
262,1514974323500593158
263,1514970672208007171
264,1514969449723535361
265,1514967728729247749
266,1514966814463344640
267,1514966744946946048
268,1514964854750138370
269,1514964796193619968
270,1514964778644553728
271,1514964043093757957
272,1514963585390108672
273,1514961488913518599
274,1514953488999936004
275,1514953101282840585
276,1514952042048995330
277,1514951443177951234
278,1514950980764372997
279,1514949496899358721
280,1514936583505342468
281,1514934371450511367
282,1514933942696255488
283,1514932740038316038
284,1514928493360033794
285,1514926840019927040
286,1514925254258397188
287,1514924966915026951
288,1514920315348045832
289,1514916630224121858
290,1514916107391438850
291,1514916052098068488
292,1514914877403402243
293,1514914647845056519
294,1514911175141732353
295,1514909133362843653
296,1514908057519722498
297,1514905883566034946
298,1514904796444217347
299,1514904753741910017
300,1514903424806043652
301,1514903424806043652
302,1514903081133215749
303,1514900142767357958
304,1514900011968077829
305,1514899943013728257
306,1514897642781880322
307,1514893204088360972
308,1514893106239447041
309,1514888279706980354
310,1514883594145177601
311,1514883237788753922
312,1514881496296865795
313,1514877605626978308
314,1514876329283362818
315,1514872949928566788
316,1514870411330260998
317,1514867938213330944
318,1514858501075517440
319,1514845655608397824
320,1514839434553970691
321,1514830769683943430
322,1514829195947528201
323,1514823174814580740
324,1514822962683076608
325,1514821183841050624
326,1514820698832707588
327,1514816809358151694
328,1514812885293477888
329,1514812255304572928
330,1514807344307220483
331,1514802408420876306
332,1514798340084416517
333,1514796683598565379
334,1514796654209032201
335,1514796612706463753
336,1514796579797889024
337,1514796519886491657
338,1514796224842326024
339,1514795712227078151
340,1514793035032260612
341,1514790647374376963
342,1514788910794125315
343,1514788746763272197
344,1514788451970809859
345,1514786106910265348
346,1514783801611735060
347,1514779739579318281
348,1514776512113045506
349,1514775872330371073
350,1514774494925058050
351,1514774478286299142
352,1514772057837359105
353,1514771020543979528
354,1514767351857786883
355,1514764020829499414
356,1514763072811937812
357,1514763038762577947
358,1514761350676889601
359,1514760595635159041
360,1514759171308105758
361,1514757214090809347
362,1514755721803575302
363,1514755382178066462
364,1514752361083904005
365,1514750056619986953
366,1514746998439780354
367,1514746843858714629
368,1514743256625684482
369,1514742981873577992
370,1514742315599990785
371,1514741150464327689
372,1514740661152534688
373,1514740588029128709
374,1514739519991562241
375,1514738418114199597
376,1514735751090651141
377,1514732355910606848
378,1514730713031004169
379,1514729645085794312
380,1514729105777999878
381,1514726954771095562
382,1514726294654697477
383,1514723993307299846
384,1514720054419628043
385,1514719041327411207
386,1514716796980383746
387,1514714024449036288
388,1514713579924119556
389,1514713322620440579
390,1514710603440427011
391,1514707742933540866
392,1514707052131618830
393,1514706931767779328
394,1514701176477990921
395,1514700923653836803
396,1514700737544138754
397,1514697316967587843
398,1514695745030524934
399,1514692807935496207
400,1514690609017245702
401,1514690609017245702
402,1514689993544929285
403,1514689312058662926
404,1514689042075598852
405,1514689001021710339
406,1514687444670722052
407,1514685353977790477
408,1514684855401000963
409,1514684126611193978
410,1514682478644154373
411,1514681125603581968
412,1514681069924073480
413,1514678581590380548
414,1514677490446389253
415,1514677381474177025
416,1514677115039334418
417,1514675780344852485
418,1514674835296821253
419,1514671041423069192
420,1514670850359939075
421,1514670831749586949
422,1514670133985353737
423,1514666977746378756
424,1514666568885571589
425,1514664786960785413
426,1514664331933364229
427,1514663091673444360
428,1514662992150945798
429,1514661934192369666
430,1514659554130341891
431,1514658406770040838
432,1514656139362848780
433,1514655262086467585
434,1514654943600386056
435,1514654886998249476
436,1514653063981805574
437,1514652735018344459
438,1514651405272989702
439,1514650114207326208
440,1514650061631856640
441,1514649686396878849
442,1514648827290001409
443,1514647985547792387
444,1514646948459913219
445,1514645513597071375
446,1514645381258358786
447,1514644797222498313
448,1514644651235586054
449,1514644591055675394
450,1514644508759187458
451,1514644470410719240
452,1514644380455522306
453,1514644148019679232
454,1514643088563740683
455,1514637392870875143
456,1514636333699973121
457,1514636220579594242
458,1514635981332402178
459,1514634905711435777
460,1514632131624017932
461,1514632068566687747
462,1514631762076319753
463,1514631313264848899
464,1514629953463193605
465,1514628621016748039
466,1514625332162273289
467,1514624578076692480
468,1514624159812259842
469,1514623603840593921
470,1514621919416442887
471,1514620365837721604
472,1514620350935572483
473,1514619120553275393
474,1514619105545908225
475,1514618447883378688
476,1514616652507189261
477,1514616549306363914
478,1514615728741097472
479,1514613200137850887
480,1514611766390448137
481,1514606509832880132
482,1514606413154172935
483,1514604975418007557
484,1514602153133809669
485,1514602000008155138
486,1514601990872973317
487,1514601949059973123
488,1514599747612397568
489,1514599163572330505
490,1514598753327628295
491,1514598613741150210
492,1514598452335984641
493,1514598183388733446
494,1514598094582665222
495,1514597550858330113
496,1514597074133819397
497,1514597029279936513
498,1514596628149194755
499,1514589823671349249
500,1514589132928036869
501,1514589132928036869
502,1514589070411931655
503,1514588898139254787
504,1514584623321436162
505,1514584567558156290
506,1514582670814162945
507,1514582428274331653
508,1514575762036297728
509,1514574535219159040
510,1514574393094987779
511,1514574248295256076
512,1514574194582859782
513,1514569679666388996
514,1514567787934633986
515,1514563366286774275
516,1514556294530670592
517,1514550032443322368
518,1514548500264071173
519,1514547479718506496
520,1514546747850301440
521,1514538046955429898
522,1514534723749437440
523,1514524631440445440
524,1514520915492708354
525,1514520110630948869
526,1514519173250142212
527,1514518906030936066
528,1514516940135538689
529,1514504664896712706
530,1514496165026349056
531,1514496130821804037
532,1514494738925162500
533,1514494434997518336
534,1514489715432783872
535,1514484116040798212
536,1514477360120225793
537,1514477298468237315
538,1514473397811621888
539,1514462148893691907
540,1514456198619312128
541,1514453377496895492
542,1514450119294390278
543,1514449540778102785
544,1514442878898089987
545,1514438647046582272
546,1514437559039967233
547,1514435339175223297
548,1514434195380129794
549,1514430477448486917
550,1514428748254298113
551,1514428703706685453
552,1514423293746495498
553,1514421005900566528
554,1514417099875110912
555,1514414869562499083
556,1514414089296302085
557,1514413419109265410
558,1514409245361455106
559,1514400719591206912
560,1514399787738669056
561,1514398529422184450
562,1514392168466731011
563,1514390628192317443
564,1514390580851265539
565,1514389855601577988
566,1514388423590748161
567,1514387837147398147
568,1514387812090531848
569,1514387395998851072
570,1514387325509423106
571,1514387183670644738
572,1514387094713602055
573,1514386427303407618
574,1514385709116936198
575,1514382715449139204
576,1514382122139586563
577,1514381954065575937
578,1514377894692151301
579,1514377362942705672
580,1514374987142082567
581,1514371846489083904
582,1514370883938365448
583,1514370355921625090
584,1514370010877071363
585,1514368951392018432
586,1514366883063123969
587,1514366735377481738
588,1514366726892396546
589,1514366063131119628
590,1514364940190162948
591,1514364827510063106
592,1514364377738133504
593,1514362178350067725
594,1514360406055305217
595,1514359356447461383
596,1514357963254689793
597,1514354094831403011
598,1514351975437119489
599,1514350511830577156
600,1514350361225613321
601,1514350361225613321
602,1514345993810100229
603,1514345546684710926
604,1514345222288773126
605,1514341905802346505
606,1514341454818078720
607,1514338803636441098
608,1514338529224146948
609,1514338354606886918
610,1514338247333367814
611,1514338225237725187
612,1514337284065218574
613,1514334108494622720
614,1514332822420729859
615,1514332070029537286
616,1514330426655100932
617,1514327879680761867
618,1514327158444888064
619,1514326331558871041
620,1514325733128261642
621,1514325581969563653
622,1514324392850960385
623,1514323731778535424
624,1514323705337245697
625,1514323465402167300
626,1514322326023770119
627,1514321329692065796
628,1514319423657721866
629,1514317750323367939
630,1514315955618283520
631,1514313373990756355
632,1514312300852822025
633,1514311034613477379
634,1514310086218420234
635,1514308654899552268
636,1514307791111999494
637,1514307636069646352
638,1514307264609456134
639,1514307246628524034
640,1514307161937092617
641,1514306907204431879
642,1514306677192896514
643,1514306070923124746
644,1514305457418084352
645,1514302771511668736
646,1514302718466301959
647,1514302706042683395
648,1514302401645228033
649,1514302229515231236
650,1514301750068482048
651,1514301239982395392
652,1514300625600798725
653,1514299204499292171
654,1514298367278518280
655,1514296006254505992
656,1514293858229796869
657,1514288922146263042
658,1514288534567460869
659,1514285040984801292
660,1514284321137377281
661,1514282035392626688
662,1514280653960978446
663,1514280289014587394
664,1514279542742945796
665,1514278592699633676
666,1514278294979596288
667,1514277240443441154
668,1514274965167620096
669,1514274129087770634
670,1514273879174393856
671,1514273669119422472
672,1514273652262731776
673,1514272920557834240
674,1514272760171749384
675,1514272351378042880
676,1514272209417940993
677,1514272115964321797
678,1514270165613088777
679,1514270064937164801
680,1514269848100036610
681,1514267284679925766
682,1514266629890138113
683,1514266387648323588
684,1514265905701822466
685,1514265173074358277
686,1514265012948377607
687,1514264838545018885
688,1514264179418406916
689,1514262291725881350
690,1514261728221147137
691,1514261163550289922
692,1514259984883884038
693,1514256796612902912
694,1514253967642963969
695,1514253708749512704
696,1514252965657423872
697,1514251630610423811
698,1514250440820817921
699,1514250230316904454
700,1514249260862169098
701,1514249260862169098
702,1514248715254460418
703,1514248686728933377
704,1514248418725707777
705,1514243327180394505
706,1514242368597368839
707,1514239845887102983
708,1514239844960059392
709,1514239648922583045
710,1514239592609820677
711,1514238645511004161
712,1514236121412157442
713,1514236043406745602
714,1514234708049211398
715,1514233724573216778
716,1514233721846525957
717,1514232716606201865
718,1514231647125745668
719,1514228553696612357
720,1514227297154387970
721,1514227111934013451
722,1514224329780781057
723,1514223736202969093
724,1514223208504905728
725,1514223123637354501
726,1514220639015550977
727,1514220370638876673
728,1514219698484916229
729,1514219301728890885
730,1514217151074295812
731,1514212733595619338
732,1514211800165888009
733,1514208700327636995
734,1514204847171465219
735,1514197652220567560
736,1514194774160703496
737,1514194522569416708
738,1514192883603189764
739,1514192059841744903
740,1514183964553977858
741,1514181136745963526
742,1514171419709558788
743,1514170002613891075
744,1514168767923769344
745,1514165537257172993
746,1514161253509308416
747,1514160486354661376
748,1514159439309418501
749,1514156996056043521
750,1514146402384834565
751,1514137473987022863
752,1514127431795363844
753,1514124466070200324
754,1514122806078091264
755,1514115234587361287
756,1514114407177068547
757,1514113172520660994
758,1514107995101319168
759,1514107519379341314
760,1514099316591251457
761,1514092874484252672
762,1514091786733502464
763,1514091319144112132
764,1514088744659345408
765,1514084963448066052
766,1514084055536451585
767,1514082085266501634
768,1514081107859623939
769,1514073275470544897
770,1514072981525315586
771,1514072443073277954
772,1514071220286861315
773,1514070805226967042
774,1514069869511299077
775,1514069320900427778
776,1514069320887902214
777,1514069285945188354
778,1514069249496653825
779,1514068443397439491
780,1514067981269192707
781,1514066346409144327
782,1514063282109222912
783,1514062950876651523
784,1514053203654225922
785,1514052914339524609
786,1514052409986850820
787,1514048752339853312
788,1514046754110517248
789,1514046576469102596
790,1514045376923410436
791,1514044888035254272
792,1514043644395032577
793,1514043359601471490
794,1514041281785311233
795,1514040652731977734
796,1514040111020843015
797,1514039319295668242
798,1514038969134161923
799,1514037903109902336
800,1514036954639343622
801,1514036954639343622
802,1514036364081307654
803,1514033170689269764
804,1514031060115406854
805,1514030905261584384
806,1514029975518732297
807,1514029673172381704
808,1514029177950846976
809,1514028370283184131
810,1514028318009573383
811,1514026659237838849
812,1514026590287540228
813,1514025361717268498
814,1514022442683056132
815,1514021203912110089
816,1514020346940243971
817,1514019692104622084
818,1514018461818707969
819,1514018406026162177
820,1514017095016542209
821,1514015012641255425
822,1514011412955385868
823,1514008757537488896
824,1514007469000998915
825,1514005523670085639
826,1514004155932815373
827,1514004096298192896
828,1513999619352457227
829,1513999319208235010
830,1513998223060447240
831,1513994700046360583
832,1513994237385224196
833,1513993797532852234
834,1513984692554403840
835,1513983965086072838
836,1513982627732144138
837,1513982384135454727
838,1513980677590421510
839,1513978588344688640
840,1513978422627909637
841,1513977130727653376
842,1513977084112162816
843,1513973964099489802
844,1513973028711014411
845,1513972923714916360
846,1513972848527872004
847,1513972777837109256
848,1513967308124803072
849,1513966180482138117
850,1513964005764870145
851,1513963726453489664
852,1513963676147011591
853,1513962879392915459
854,1513958465844256777
855,1513958398630506503
856,1513957542900101125
857,1513955951988125707
858,1513955629727105042
859,1513955369969668104
860,1513955202826657808
861,1513954496858185735
862,1513950940600098834
863,1513949760209620996
864,1513946649688789001
865,1513944592151810050
866,1513942321305370633
867,1513940012735205376
868,1513938836555976704
869,1513938225198510083
870,1513936368535285760
871,1513932492998418439
872,1513931109972721664
873,1513930625132208142
874,1513930454969339911
875,1513930445632651267
876,1513930304955863042
877,1513930247175131137
878,1513928395503120394
879,1513926846018117642
880,1513926729429102594
881,1513924470410338306
882,1513922002389770243
883,1513920955902529550
884,1513920721772113920
885,1513920696245702658
886,1513919624127008773
887,1513916464440307717
888,1513913773605593094
889,1513912504522444802
890,1513911153151426566
891,1513911081873424389
892,1513910905964216326
893,1513909679620911105
894,1513909043420708873
895,1513908842236723201
896,1513905854109474818
897,1513905530875441152
898,1513904840241385473
899,1513904807903387654
900,1513903566989185042
901,1513903566989185042
902,1513901608647680004
903,1513901504641572864
904,1513901073341337607
905,1513900565755006978
906,1513900498293870592
907,1513899453333262339
908,1513897628529950723
909,1513894128563761156
910,1513893401552252930
911,1513890688475320329
912,1513883840074375182
913,1513883389132259329
914,1513883157220802563
915,1513872924909965317
916,1513870505522044929
917,1513867422104625154
918,1513866732779286528
919,1513862833594933251
920,1513862744004509699
921,1513862180894085127
922,1513861853411225607
923,1513860629278466050
924,1513860141480882181
925,1513859215370170368
926,1513856696396963847
927,1513852803000651776
928,1513849533486100485
929,1513849531439456264
930,1513849413302513668
931,1513845793970655237
932,1513838670176047105
933,1513834512073076740
934,1513834485049180172
935,1513834371756740613
936,1513833550377893889
937,1513832886923071500
938,1513831575439425537
939,1513829909608779778
940,1513823584501870594
941,1513822501474041858
942,1513819531231182852
943,1513812354634600452
944,1513807643432919041
945,1513800578555547652
946,1513792326614892545
947,1513791896723894276
948,1513791795376930818
949,1513776113356619777
950,1513762531440939011
951,1513759687304355842
952,1513756478510882819
953,1513752522594398211
954,1513744944443412480
955,1513744241981222920
956,1513744140974047232
957,1513743376029564929
958,1513736641659113472
959,1513734873214767104
960,1513734092268875781
961,1513729491797180418
962,1513724096005099523
963,1513723682471890944
964,1513722491725885447
965,1513719722595999752
966,1513718873790447619
967,1513718806623006721
968,1513714119576227840
969,1513708840570695681
970,1513708453583228933
971,1513706401713037327
972,1513703887546462211
973,1513703747066679298
974,1513703129828704256
975,1513701958644744192
976,1513701293084262408
977,1513699207357648896
978,1513699089552232449
979,1513696622726815747
980,1513695683412434951
981,1513695600138592256
982,1513693475862196227
983,1513693241434009600
984,1513693198861934594
985,1513693197746286595
986,1513692981718573058
987,1513692556952948736
988,1513692407086395403
989,1513692124495040515
990,1513689220384182280
991,1513688164954779648
992,1513688160986873863
993,1513686471332442114
994,1513685630013911041
995,1513685545959972869
996,1513685232771338244
997,1513684754155114498
998,1513683406906806272
999,1513683350606729216
1000,1513681943941947395
1001,1513681943941947395
1002,1513681727767515137
1003,1513681378172231680
1004,1513681076354310149
1005,1513678958914465794
1006,1513678428373131264
1007,1513678246386176001
1008,1513677303112470529
1009,1513677277115998210
1010,1513673435079188480
1011,1513672133360115713
1012,1513672058965794817
1013,1513672010739691529
1014,1513671969287385088
1015,1513671938039853061
1016,1513670985274126336
1017,1513668988579966979
1018,1513667937403645955
1019,1513667915379351554
1020,1513665659435163648
1021,1513664571671781389
1022,1513662452075929602
1023,1513661949027893249
1024,1513661541589176323
1025,1513660910983864332
1026,1513658533044109315
1027,1513657012013305858
1028,1513656075811180550
1029,1513651337648562183
1030,1513651022807416845
1031,1513648939999789062
1032,1513644707863318528
1033,1513644442619682821
1034,1513643103701377025
1035,1513638388603228162
1036,1513633166090637312
1037,1513630647277219841
1038,1513630625080782851
1039,1513627923953115144
1040,1513625965779374089
1041,1513625621091471361
1042,1513624547408420869
1043,1513621814810980360
1044,1513621473033916421
1045,1513621407288238080
1046,1513620500123115523
1047,1513619329954336771
1048,1513619032498446339
1049,1513618868786237440
1050,1513618690281029641
1051,1513616875921592328
1052,1513616757868613639
1053,1513616231324131328
1054,1513613670282113027
1055,1513613450324365313
1056,1513613369571483651
1057,1513612712940486661
1058,1513608001751597070
1059,1513607643604168716
1060,1513603617068093440
1061,1513603256420904967
1062,1513598055848759306
1063,1513597796644962309
1064,1513595192519049225
1065,1513594838045835274
1066,1513592660958846980
1067,1513592574203895817
1068,1513591946865950728
1069,1513591673699422208
1070,1513588654530170880
1071,1513587283840024579
1072,1513586931568840705
1073,1513584488244256771
1074,1513584219791974402
1075,1513580749227798539
1076,1513577851043336198
1077,1513577622973915140
1078,1513574953370673161
1079,1513573518096547840
1080,1513572986086899716
1081,1513572902758662158
1082,1513572395084402693
1083,1513572012043689986
1084,1513571945522073614
1085,1513570897831120897
1086,1513569545751048199
1087,1513569350107627523
1088,1513568952559017994
1089,1513568359941611525
1090,1513568025324175364
1091,1513567960945754112
1092,1513564771160842250
1093,1513562963919228930
1094,1513560415623548928
1095,1513560073481510913
1096,1513556799332491267
1097,1513555267878899716
1098,1513553866826076163
1099,1513551092486877186
1100,1513548910970740746
1101,1513548910970740746
1102,1513548201781088270
1103,1513547735076589572
1104,1513546231011844098
1105,1513545434073075721
1106,1513543640269791233
1107,1513543199096295429
1108,1513543008267898882
1109,1513542645854863361
1110,1513541130297622531
1111,1513539278973906951
1112,1513528767490281474
1113,1513526667909677066
1114,1513526559067488260
1115,1513525842890080263
1116,1513523325846396940
1117,1513521187510534147
1118,1513521084057849858
1119,1513519970373804041
1120,1513519427710451721
1121,1513519083479728133
1122,1513513163014213635
1123,1513512701602852868
1124,1513512315840131074
1125,1513511285530443781
1126,1513506740310278147
1127,1513506696622129157
1128,1513503487652507654
1129,1513502133735374851
1130,1513498914380427265
1131,1513498546477187075
1132,1513496780582928388
1133,1513493566412275712
1134,1513491755039174663
1135,1513487034714755072
1136,1513483719239155712
1137,1513480485791571970
1138,1513478230900154370
1139,1513477751554162693
1140,1513476996885626886
1141,1513474215701327881
1142,1513461723210162186
1143,1513457522539171846
1144,1513456331235147776
1145,1513447548383506435
1146,1513441519050575872
1147,1513441449504825346
1148,1513441028568764418
1149,1513425967578066953
1150,1513414842677350401
1151,1513414612456194052
1152,1513389883213205506
1153,1513388148201603083
1154,1513384805588688896
1155,1513381782472830978
1156,1513381177821995010
1157,1513381039955193856
1158,1513380053211615233
1159,1513377902150123523
1160,1513368282702958593
1161,1513364161559994371
1162,1513363739700973568
1163,1513357559599558656
1164,1513356512516837378
1165,1513356484893188106
1166,1513356034546540545
1167,1513355460057116677
1168,1513353220063744000
1169,1513351292386652161
1170,1513348948622123010
1171,1513348686398787592
1172,1513348611320553476
1173,1513347101681278981
1174,1513347101169631233
1175,1513347041417592833
1176,1513343733898657800
1177,1513341743239815171
1178,1513341199163273218
1179,1513341035912519680
1180,1513340427230973952
1181,1513339886979346432
1182,1513339828540162051
1183,1513335794882289671
1184,1513332430245019649
1185,1513330797285199882
1186,1513328918828363779
1187,1513327548947521536
1188,1513327416340492298
1189,1513326187359072261
1190,1513325296359030786
1191,1513324822704623620
1192,1513322592530309132
1193,1513321274273144838
1194,1513319845269368832
1195,1513317957128146947
1196,1513317813225594883
1197,1513317134004154371
1198,1513316653659942912
1199,1513315461991219207
1200,1513315167555096576
1201,1513315167555096576
1202,1513313394895511555
1203,1513310242049769482
1204,1513308216519970817
1205,1513306892713533444
1206,1513304113060225029
1207,1513303849544654852
1208,1513302693040648193
1209,1513302620680724487
1210,1513302290396246016
1211,1513302054311235585
1212,1513301785762582532
1213,1513300273036464132
1214,1513299354286800901
1215,1513299034743599104
1216,1513298443720015873
1217,1513293572992565248
1218,1513292767686008836
1219,1513291335746342914
1220,1513291009077219328
1221,1513288517920636931
1222,1513285834409234454
1223,1513285426324250628
1224,1513284176690229248
1225,1513280576882724876
1226,1513279920729899017
1227,1513279830661517314
1228,1513279003729317890
1229,1513278858635608069
1230,1513278424000827392
1231,1513276742248636419
1232,1513276154764935171
1233,1513273979989110794
1234,1513272245921013760
1235,1513272222596706318
1236,1513271908657246215
1237,1513271844375302152
1238,1513271464224608261
1239,1513268441704452097
1240,1513268363673415688
1241,1513268349110784009
1242,1513267459066847233
1243,1513266977141403650
1244,1513266122056949760
1245,1513264276458377217
1246,1513263947159425030
1247,1513260649614397440
1248,1513259222443741185
1249,1513258791323766786
1250,1513258318470524929
1251,1513256988884430848
1252,1513254714628100098
1253,1513254665244352513
